gene	magma_status	snRNA_support_status	twas_model_type	twas_proxy_status	spatial_status	bulk_status_if_available	repaired_reporting_group	allowed_interpretation
MED13	fdr05	partial_context_support	multi_snp_proxy	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
MINDY4	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
MIPOL1	fdr05	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
MOB4	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
MPIG6B	fdr05	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
MUCL3	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
MXD3	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
NDUFAB1	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
NDUFAF1	fdr05	partial_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
NEK4	top100	partial_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
NFKBIL1	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
NKAPD1	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
NOTCH4	fdr05	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
NSF	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
NT5DC2	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
NUSAP1	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
PBRM1	top100	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
PKN1	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
PM20D1	fdr05	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
PPP1R9B	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
PPP2R1B	fdr05	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
PRELID1	top50	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
PRRC2A	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
PTGER1	top50	partial_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
PTGS2	top50	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
RAB29	top50	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
RFTN2	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
RGS14	top50	partial_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
RTF1	fdr05	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SAG	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SCGN	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SDHD	fdr05	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SF3B1	fdr05	no_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SFTA2	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SIK2	fdr05	no_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SLC14A2	fdr05	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SLC17A3	top100	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SLC30A10	top50	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SLC34A1	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SLC41A1	fdr05	no_context_support	multi_snp_proxy	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SNRPD2	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SNX17	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SPATA31H1	top50	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SPCS1	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SPPL2C	top100	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
STAB1	top100	no_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
STAP2	top100	partial_context_support	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
STH	top50	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SUN2	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
SYT14	fdr05	no_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TBCCD1	top100	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TBX2	top50	no_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TFAP2D	fdr05	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TLR9	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TNFAIP8L3	top100	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TNFRSF6B	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TNXB	top100	partial_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TRIM31	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TRIM64C	fdr05	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
TRIOBP	top50	no_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
UQCC5	top100	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
USP40	fdr05	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
VPS13B	top100	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
WNT3	fdr05	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
WNT5A	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
YAF2	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ZCRB1	top100	partial_context_support	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ZFPM1	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ZGPAT	fdr05	no_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ZNF512	top50	partial_context_support	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R4	Genetic-priority candidate requiring additional context follow-up.
ARL15	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
C6orf48	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
CHAC1	not_magma_prioritized	not_assessed	multi_snp_proxy	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
FHL3	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
MPHOSPH9	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
RNASEH2C	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
RP11-116D17.3	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
RP11-298J23.10	not_magma_prioritized	not_assessed	multi_snp_proxy	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
S100A16	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
SPI1	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
STMN3	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
TIMM8B	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
TMBIM1	not_magma_prioritized	not_assessed	multi_snp_proxy	stronger_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
TMC4	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
TRPV6	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
ZNF468	not_magma_prioritized	not_assessed	one_snp_proxy	weak_proxy_annotation_only	supplementary_context_only	pending_not_repaired_in_phase4_step2	R5	Supplementary Kidney_Cortex TWAS proxy annotation only.
BPNT1	not_magma_prioritized	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R6	Contextual background or currently unsupported reporting gene.
FAM13A	not_magma_prioritized	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R6	Contextual background or currently unsupported reporting gene.
GRIK2	not_magma_prioritized	not_assessed	not_fdr_supported	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R6	Contextual background or currently unsupported reporting gene.
KIF21A	not_magma_prioritized	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R6	Contextual background or currently unsupported reporting gene.
PLA2G6	not_magma_prioritized	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R6	Contextual background or currently unsupported reporting gene.
SPAG17	not_magma_prioritized	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R6	Contextual background or currently unsupported reporting gene.
UNC13C	not_magma_prioritized	not_assessed	not_tested_or_not_in_model	no_positive_twas_evidence	supplementary_context_only	pending_not_repaired_in_phase4_step2	R6	Contextual background or currently unsupported reporting gene.
