gene	existing_group	repaired_reporting_group	reason_for_group_assignment	magma_summary	snRNA_summary	twas_summary	spatial_summary	bulk_summary_if_available	downgrade_reason	upgrade_reason	human_review_required	notes
ADK	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=192	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
USP50	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=194	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RTEL1	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=195	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.92	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
FAM227A	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=196	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.863	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ALG12	Tier2_moderate_MAGMA_scRNA	R1	MAGMA priority and strong snRNA context without FDR TWAS proxy upgrade.	fdr05; rank=201	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MED1	Tier2_moderate_MAGMA_scRNA	R2	MAGMA priority, strong snRNA context and multi-SNP TWAS proxy annotation.	top50; rank=32	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.998	stronger_proxy_annotation_only; model=multi_snp_proxy; FDR=8.23e-05	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2		Multi-SNP TWAS retained as stronger proxy annotation, not regulatory evidence.	yes	Do not call this a causal tier.
PPHLN1	Tier2_moderate_MAGMA_scRNA	R3	MAGMA priority and strong snRNA context; TWAS is one-SNP proxy only.	fdr05; rank=118	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.0303	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2	One-SNP or TWAS-only signal is retained only as proxy annotation and cannot drive priority.		yes	Do not call this a causal tier.
FNIP2	Tier2_moderate_MAGMA_scRNA	R3	MAGMA priority and strong snRNA context; TWAS is one-SNP proxy only.	fdr05; rank=134	strong_context_support; Existing candidate table: scrna_evidence_class=strong_primary; top_celltype=Loop_of_Henle_TAL; benchmark_percentile=0.999	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.0308	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2	One-SNP or TWAS-only signal is retained only as proxy annotation and cannot drive priority.		yes	Do not call this a causal tier.
TBX2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=1	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.448	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.000206	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
LMAN2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=2	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.112	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PTGER1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=3	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.512	weak_proxy_annotation_only; model=one_snp_proxy; FDR=1.48e-15	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
DGKD	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=4	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.112	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
DGKH	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=12	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.112	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MINDY4	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=13	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SPATA31H1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=14	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SLC30A10	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=16	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.112	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SAG	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=17	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.512	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RGS14	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=18	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	weak_proxy_annotation_only; model=one_snp_proxy; FDR=1.8e-36	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ZNF512	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=20	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
GCKR	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=22	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.448	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ALPL	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=23	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.112	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SLC34A1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=24	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.512	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PTGS2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=26	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.448	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ZFPM1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=27	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
FBXL20	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=30	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	weak_proxy_annotation_only; model=one_snp_proxy; FDR=3.53e-05	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
GIPR	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=31	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.512	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.897	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
LRRC37A	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=33	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
C19orf48P	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=36	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TRIOBP	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=38	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.112	weak_proxy_annotation_only; model=one_snp_proxy; FDR=5e-04	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
KCNK5	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=40	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.512	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MXD3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=41	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
YAF2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=42	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
KANSL1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=43	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.63	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RAB29	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=44	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.512	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.596	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
STH	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=45	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
LINC02875	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=46	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SPCS1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=47	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
MAPT	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=48	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.368	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.00201	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PRELID1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=49	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.882	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.0651	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CRHR1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top50; rank=50	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.882	weak_proxy_annotation_only; model=one_snp_proxy; FDR=6.84e-05	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SPPL2C	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=51	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PBRM1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=52	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.426	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
STAB1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=53	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.886	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
AQP1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=55	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ZCRB1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=56	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.113	weak_proxy_annotation_only; model=one_snp_proxy; FDR=4.04e-07	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
NEK4	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=57	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.426	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.00371	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
NT5DC2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=59	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.617	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
AIF1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=60	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.113	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ITIH1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=62	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
UQCC5	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=63	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
GNL3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=64	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.437	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.000226	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ATG16L1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=65	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.426	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
CPNE8	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=67	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.596	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
HLA-DQA2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=69	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.617	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.215	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
LOC101927855	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=70	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PKN1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=71	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
DNAJB11	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=72	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Injured_undifferentiated_epithelial; benchmark_percentile=0.617	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.000384	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TBCCD1	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=73	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
BAG6	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=75	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
HLA-DQB2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=77	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.728	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
LAYN	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=78	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
VPS13B	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=79	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.426	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
F12	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=80	partial_context_support; Existing candidate table: scrna_evidence_class=review_flagged; top_celltype=Collecting_duct_principal; benchmark_percentile=0.113	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.00594	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ATP6V1G2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=81	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.426	no_positive_twas_evidence; model=not_fdr_supported; FDR=0.819	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
PRRC2A	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=83	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
LOC101929578	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=84	not_assessed; No candidate-level snRNA summary available.	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
SNX17	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=85	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Endothelial; benchmark_percentile=0.183	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TNXB	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=87	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.426	weak_proxy_annotation_only; model=one_snp_proxy; FDR=0.0254	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
RFTN2	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=88	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.437	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
ACP4	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=94	no_context_support; Existing candidate table: scrna_evidence_class=not_supported; top_celltype=Fibroblast_stromal; benchmark_percentile=0.437	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
TNFAIP8L3	Tier3_context	R4	MAGMA priority is present but strong snRNA context is absent or partial.	top100; rank=96	partial_context_support; Existing candidate table: scrna_evidence_class=exploratory_low_abundance; top_celltype=Perivascular_mural_like; benchmark_percentile=0.426	no_positive_twas_evidence; model=not_tested_or_not_in_model	Supplementary context only; not claim-grade and not used for group assignment.	pending_not_repaired_in_phase4_step2			no	Do not call this a causal tier.
