gene	input_evidence_summary	classification_decision	why_not_higher	why_not_lower	allowed_sentence_fragment	forbidden_sentence_fragment	needs_followup_in_stage4_or_stage5
KCNK5	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
LAYN	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
LINC02875	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
LMAN2	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
LOC101927855	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
LOC101929578	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
LRRC37A	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
LUZP1	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
MAPT	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
MED1	G1_MAGMA_Bonferroni; T1_multi_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with multi-SNP Kidney_Cortex proxy TWAS support	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
MED13	G2_MAGMA_FDR_nonBonferroni; T1_multi_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
MINDY4	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
MPHOSPH9	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
MRPL33	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
MXD3	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
NDUFAF1	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
NEK4	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
NT5DC2	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PBRM1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PDILT	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PKD2	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=yes; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton; curated exemplar flag retained only as biological interpretation	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PKN1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PLCL1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PPHLN1	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PRELID1	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PRRC2A	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PTGER1	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
PTGS2	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
RAB29	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
RAB36	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
RBKS	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
RFTN2	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
RGS14	G1_MAGMA_Bonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy with claim_2_MAGMA_plus_proxy_TWAS	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
RNASEH2C	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
RNLS	G1_MAGMA_Bonferroni; T0_no_TWAS_FDR_support; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
RP11-116D17.3	G4_no_MAGMA_support; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R5_TWAS_proxy_only with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	supplementary Kidney_Cortex proxy TWAS signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
RP11-298J23.10	G4_no_MAGMA_support; T1_multi_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R5_TWAS_proxy_only with claim_3_contextual_or_supplementary	not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	supplementary Kidney_Cortex proxy TWAS signal	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
S100A16	G3_MAGMA_suggestive_or_module; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SAG	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SDHD	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SF3B1	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SHLD2	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SHROOM3	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SIK2	G2_MAGMA_FDR_nonBonferroni; T2_one_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	no multi-SNP Kidney_Cortex proxy TWAS support; not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SLC12A3	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SLC30A10	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SLC34A1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SLC41A1	G2_MAGMA_FDR_nonBonferroni; T1_multi_snp_Kidney_Cortex_proxy; exemplar=no; SMR/coloc=not_ready	R4_MAGMA_lower_priority with claim_3_contextual_or_supplementary	not MAGMA Bonferroni prioritized; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	contextual or supplementary MAGMA-supported candidate	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SLC4A1AP	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SNX17	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SPATA31H1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
SPCS1	G1_MAGMA_Bonferroni; Tx_not_available; exemplar=no; SMR/coloc=not_ready	R1_MAGMA_Bonferroni_only with claim_1_main_MAGMA_prioritized	no multi-SNP Kidney_Cortex proxy TWAS support; no claim-grade SMR/coloc support	retains available MAGMA and/or TWAS proxy evidence from frozen skeleton	MAGMA-prioritized gene	causal/validated/SMR-supported/coloc-supported/papilla-specific TWAS wording	Stage 4 donor-level snRNA context; Stage 5 GSE73680 context; Stage 6 spatial/TWAS boundary as applicable
